Codigo,tipo,datareceb,descricao,valor,NumTitulo,Serie,Instituicao,ContaContabil,ContaContabilDebito,N,Tipo_C,Codigo_C
199072,C,2025-11-26 0:00:00,Lançamento Referente Recebimento Duplicata,"925,79",55705,100,237,2,0,1,1,3878
199073,C,2025-11-26 0:00:00,Lançamento Referente Recebimento Duplicata,"1488,78",55706,100,237,2,0,1,1,3174
199074,C,2025-11-26 0:00:00,Lançamento Referente Recebimento Duplicata,"1754,59",55707,100,237,2,0,1,1,3175
199075,D,2025-11-26 0:00:00,Lançamento Referente Pagamento Duplicata,"1150,86",9022125,100,237,0,22,1,3,3512
199076,D,2025-11-26 0:00:00,Lançamento Referente Pagamento Duplicata,"1580,61",25945,1,2,0,22,3,2,4923
199077,D,2025-11-26 0:00:00,Lançamento Referente Pagamento Duplicata,"833,74",63366533,890,2,0,21,1,2,5484
199078,D,2025-11-26 0:00:00,Lançamento Referente Pagamento Duplicata,"489,97",39525112025,1,237,33,33,1,2,395
199079,C,2025-11-25 0:00:00,Lançamento Referente Recebimento Duplicata,"68202,72",55509,100,2,2,0,1,1,5832
199080,C,2025-11-25 0:00:00,Lançamento Referente Recebimento Duplicata,"2760,39",55173,100,2,2,0,1,1,5853
199081,C,2025-11-25 0:00:00,Lançamento Referente Recebimento Duplicata,"4967,06",55297,100,2,2,0,1,1,5399
199110,C,2025-11-28 0:00:00,Lançamento Referente Recebimento Duplicata,"1242,49",55724,100,237,2,0,1,1,314
199111,C,2025-11-28 0:00:00,Lançamento Referente Recebimento Duplicata,"789,35",55725,100,237,2,0,1,1,2838
199112,C,2025-11-28 0:00:00,Lançamento Referente Recebimento Duplicata,"887,27",55726,100,237,2,0,1,1,5537
199113,C,2025-11-28 0:00:00,Lançamento Referente Recebimento Duplicata,"1203,47",55727,100,237,2,0,1,1,542
199114,C,2025-11-28 0:00:00,Lançamento Referente Recebimento Duplicata,"524,37",55734,100,237,2,0,1,1,4254
199115,C,2025-11-28 0:00:00,Lançamento Referente Recebimento Duplicata,"1555,35",55735,100,237,2,0,1,1,4162
199116,C,2025-11-28 0:00:00,Lançamento Referente Recebimento Duplicata,"425,26",55824,100,237,2,0,1,1,5753
199117,C,2025-11-28 0:00:00,Lançamento Referente Recebimento Duplicata,"2236,30",55835,100,237,2,0,1,1,4657
199118,C,2025-11-28 0:00:00,Lançamento Referente Recebimento Duplicata,"3425,26",55836,100,237,2,0,1,1,4657
199120,C,2025-12-01 0:00:00,Lançamento Referente Recebimento Duplicata,"3019,29",55260,100,237,2,0,6,1,3458
199121,C,2025-12-01 0:00:00,Lançamento Referente Recebimento Duplicata,"1671,87",55356,100,237,2,0,5,1,2216
199122,C,2025-12-01 0:00:00,Lançamento Referente Recebimento Duplicata,"726,44",55442,100,237,2,0,4,1,5887
199123,C,2025-12-01 0:00:00,Lançamento Referente Recebimento Duplicata,"726,44",55527,100,237,2,0,3,1,2982
199124,C,2025-12-01 0:00:00,Lançamento Referente Recebimento Duplicata,"585,45",55633,100,237,2,0,2,1,384
199125,C,2025-12-01 0:00:00,Lançamento Referente Recebimento Duplicata,"712,86",55635,100,237,2,0,2,1,148
199126,C,2025-12-01 0:00:00,Lançamento Referente Recebimento Duplicata,"1219,91",55636,100,237,2,0,3,1,5708
199127,C,2025-12-01 0:00:00,Lançamento Referente Recebimento Duplicata,"1488,75",55638,100,237,2,0,3,1,4556
199128,C,2025-12-01 0:00:00,Lançamento Referente Recebimento Duplicata,"2518,94",55858,100,237,2,0,1,1,1468
199129,D,2025-12-01 0:00:00,Lançamento Referente Pagamento Duplicata,"146,00",17901431,S,2,0,23,1,3,5923
199130,D,2025-12-01 0:00:00,Lançamento Referente Pagamento Duplicata,"273,65",568,2,237,0,55,1,3,5379
199131,D,2025-12-01 0:00:00,Lançamento Referente Pagamento Duplicata,"300,00",7260,S,2,0,42,1,2,5895
199132,D,2025-12-01 0:00:00,Lançamento Referente Pagamento Duplicata,"380,90",2099,1,2,0,22,1,2,5805
199133,D,2025-12-01 0:00:00,Lançamento Referente Pagamento Duplicata,"402,12",120591,2,2,0,22,1,2,1749
199134,D,2025-12-01 0:00:00,Lançamento Referente Pagamento Duplicata,"473,36",9244025,100,237,0,22,1,3,3512
199135,D,2025-12-01 0:00:00,Lançamento Referente Pagamento Duplicata,"629,33",2490,1,2,0,22,2,2,3018
199136,D,2025-12-01 0:00:00,Lançamento Referente Pagamento Duplicata,"1034,48",9550,1,2,0,21,1,2,1282
199137,D,2025-12-01 0:00:00,Lançamento Referente Pagamento Duplicata,"1424,85",14869,1,2,0,22,1,2,5861
199138,D,2025-12-01 0:00:00,Lançamento Referente Pagamento Duplicata,"2047,60",14055,1,2,0,22,1,2,144
199139,D,2025-12-01 0:00:00,Lançamento Referente Pagamento Duplicata,"2272,17",60505,1,2,0,22,1,2,245
199140,D,2025-12-01 0:00:00,Lançamento Referente Pagamento Duplicata,"3141,47",1313,S,237,0,42,1,2,4502
199141,D,2025-12-01 0:00:00,Lançamento Referente Pagamento Duplicata,"3621,61",26477,1,2,0,22,1,2,4923
199142,D,2025-12-01 0:00:00,Lançamento Referente Pagamento Duplicata,"3790,13",143072,1,2,0,22,1,2,92
199143,D,2025-11-30 0:00:00,Lançamento Referente Pagamento Duplicata,"7444,71",143083,1,2,0,22,1,2,92
199148,C,2025-12-01 0:00:00,Lançamento Referente Recebimento Duplicata,"693,52",55949,100,2,2,0,1,1,5716
199152,D,2025-12-02 0:00:00,Lançamento Referente Pagamento Duplicata,"150,00",1780,S,2,0,42,1,2,5882
199153,D,2025-12-02 0:00:00,Lançamento Referente Pagamento Duplicata,"180,88",50413,1,2,0,53,3,2,294
199154,D,2025-12-02 0:00:00,Lançamento Referente Pagamento Duplicata,"259,00",75297,1,2,0,53,2,2,4558
199155,D,2025-12-02 0:00:00,Lançamento Referente Pagamento Duplicata,"547,33",16127,1,2,0,22,3,2,5863
199156,D,2025-12-02 0:00:00,Lançamento Referente Pagamento Duplicata,"1014,86",718343,100,2,0,22,1,3,5562
199157,D,2025-12-02 0:00:00,Lançamento Referente Pagamento Duplicata,"1637,97",16402,1,2,0,22,1,2,5863
199158,D,2025-12-02 0:00:00,Lançamento Referente Pagamento Duplicata,"6921,86",143131,1,2,0,22,1,2,92
199159,C,2025-12-02 0:00:00,Lançamento Referente Recebimento Duplicata,"896,46",55229,100,237,2,0,6,1,3903
199160,C,2025-12-02 0:00:00,Lançamento Referente Recebimento Duplicata,"960,53",55300,100,237,2,0,2,1,5074
199161,C,2025-12-02 0:00:00,Lançamento Referente Recebimento Duplicata,"654,61",55612,100,237,2,0,2,1,3363
199162,C,2025-12-02 0:00:00,Lançamento Referente Recebimento Duplicata,"3251,25",55630,100,237,2,0,1,1,397
199163,C,2025-12-02 0:00:00,Lançamento Referente Recebimento Duplicata,"754,78",55660,100,237,2,0,2,1,1571
199164,C,2025-12-02 0:00:00,Lançamento Referente Recebimento Duplicata,"1516,92",55721,100,237,2,0,1,1,5422
199165,C,2025-12-02 0:00:00,Lançamento Referente Recebimento Duplicata,"1996,80",55760,100,237,2,0,1,1,5274
199145,D,2025-11-28 0:00:00,LIVRARIA KALUNGA,"27,90",0,,1,0,0,0,0,0
199149,D,2025-12-01 0:00:00,LIVRARIA CORREA,"49,90",0,,1,0,0,0,0,0
199150,D,2025-12-01 0:00:00,PADARIA DEGUSTARE,"31,89",0,,1,0,0,0,0,0
199151,D,2025-12-01 0:00:00,PAGAMENTO PROMOTORA,"250,00",0,,1,0,0,0,0,5907
199166,C,2025-12-02 0:00:00,Lançamento Referente Recebimento Duplicata,"2069,73",55763,100,237,2,0,1,1,2017
199167,D,2025-12-02 0:00:00,ANDREAZZA,"86,70",0,,1,0,0,0,0,0
199170,D,2025-12-02 0:00:00,PADARIA DEGUSTARE,"53,78",0,,1,0,0,0,0,0
199171,D,2025-12-03 0:00:00,Lançamento Referente Pagamento Duplicata,"434,33",7404402,100,237,0,22,1,3,3512
199172,D,2025-12-03 0:00:00,Lançamento Referente Pagamento Duplicata,"3211,79",905845,1,2,0,22,1,2,4655
199173,D,2025-12-03 0:00:00,Lançamento Referente Pagamento Duplicata,"7190,82",5073,55,2,0,22,1,2,5369
199174,D,2025-12-03 0:00:00,Lançamento Referente Pagamento Duplicata,"348,29",134956625,1,237,0,0,1,2,284
199175,C,2025-12-03 0:00:00,Lançamento Referente Recebimento Duplicata,"1879,43",55320,100,237,2,0,2,1,5073
199176,C,2025-12-03 0:00:00,Lançamento Referente Recebimento Duplicata,"570,45",55646,100,237,2,0,2,1,4679
199177,C,2025-12-03 0:00:00,Lançamento Referente Recebimento Duplicata,"845,29",55680,100,237,2,0,2,1,1173
199178,C,2025-12-03 0:00:00,Lançamento Referente Recebimento Duplicata,"349,39",55704,100,237,2,0,2,1,5662
199179,C,2025-12-03 0:00:00,Lançamento Referente Recebimento Duplicata,"756,57",55732,100,237,2,0,1,1,5437
199180,C,2025-12-03 0:00:00,Lançamento Referente Recebimento Duplicata,"8017,60",55777,100,237,2,0,1,1,1321
199181,D,2025-12-02 0:00:00,Lançamento Referente Pagamento Duplicata,"258,40",447198,S,237,0,48,1,2,334
199182,C,2025-12-03 0:00:00,Lançamento Referente Recebimento Duplicata,"413,70",55938,100,2,2,0,1,1,5796
199183,D,2025-12-04 0:00:00,Lançamento Referente Pagamento Duplicata,"37,64",289986,S,2,0,42,1,2,3818
199184,D,2025-12-04 0:00:00,Lançamento Referente Pagamento Duplicata,"963,00",4768,0,2,0,22,1,2,5122
199185,D,2025-12-04 0:00:00,Lançamento Referente Pagamento Duplicata,"991,28",28208,1,2,0,22,1,2,2286
199186,D,2025-12-04 0:00:00,Lançamento Referente Pagamento Duplicata,"3073,42",26079,1,2,0,22,3,2,4923
199187,D,2025-12-04 0:00:00,Lançamento Referente Pagamento Duplicata,"5111,41",143168,1,2,0,22,1,2,92
199188,C,2025-12-04 0:00:00,Lançamento Referente Recebimento Duplicata,"1331,62",55322,100,237,2,0,2,1,5879
199189,C,2025-12-04 0:00:00,Lançamento Referente Recebimento Duplicata,"763,35",55461,100,237,2,0,4,1,789
199190,C,2025-12-04 0:00:00,Lançamento Referente Recebimento Duplicata,"1246,17",55532,100,237,2,0,2,1,2216
199191,C,2025-12-04 0:00:00,Lançamento Referente Recebimento Duplicata,"995,00",55533,100,237,2,0,3,1,2638
199192,C,2025-12-04 0:00:00,Lançamento Referente Recebimento Duplicata,"743,11",55534,100,237,2,0,3,1,2861
199193,C,2025-12-04 0:00:00,Lançamento Referente Recebimento Duplicata,"551,86",55657,100,237,2,0,2,1,4228
199194,C,2025-12-04 0:00:00,Lançamento Referente Recebimento Duplicata,"1969,19",55659,100,237,2,0,3,1,584
199195,C,2025-12-04 0:00:00,Lançamento Referente Recebimento Duplicata,"781,53",55677,100,237,2,0,2,1,5697
199196,C,2025-12-04 0:00:00,Lançamento Referente Recebimento Duplicata,"4286,89",55755,100,237,2,0,1,1,316
199197,C,2025-12-04 0:00:00,Lançamento Referente Recebimento Duplicata,"886,74",55757,100,237,2,0,1,1,4228
199198,C,2025-12-04 0:00:00,Lançamento Referente Recebimento Duplicata,"1214,20",55758,100,237,2,0,1,1,2861
199199,C,2025-12-04 0:00:00,Lançamento Referente Recebimento Duplicata,"504,77",55762,100,237,2,0,1,1,1997
199200,C,2025-12-04 0:00:00,Lançamento Referente Recebimento Duplicata,"984,24",55764,100,237,2,0,1,1,4894
199201,C,2025-12-04 0:00:00,Lançamento Referente Recebimento Duplicata,"697,09",55765,100,237,2,0,1,1,1937
199202,C,2025-12-04 0:00:00,Lançamento Referente Recebimento Duplicata,"790,67",55766,100,237,2,0,1,1,2339
199203,C,2025-12-04 0:00:00,Lançamento Referente Recebimento Duplicata,"627,09",55769,100,237,2,0,1,1,1356
199204,C,2025-12-04 0:00:00,Lançamento Referente Recebimento Duplicata,"833,20",55872,100,237,2,0,1,1,4255
199205,C,2025-12-04 0:00:00,Lançamento Referente Recebimento Duplicata,"3712,95",55881,100,237,2,0,1,1,5915
199206,C,2025-12-04 0:00:00,Lançamento Referente Recebimento Duplicata,"6756,68",55880,100,237,2,0,1,1,4946
199207,C,2025-11-27 0:00:00,Lançamento Referente Recebimento Duplicata,"3782,04",55976,100,2,2,0,1,1,5927
199208,D,2025-12-05 0:00:00,Lançamento Referente Pagamento Duplicata,"85,00",5095,S,237,0,11,1,2,3018
199209,D,2025-12-05 0:00:00,Lançamento Referente Pagamento Duplicata,"270,93",643,2,237,0,55,1,3,5379
199210,D,2025-12-05 0:00:00,Lançamento Referente Pagamento Duplicata,"561,51",7426751,100,2,0,22,1,3,3512
199211,D,2025-12-05 0:00:00,Lançamento Referente Pagamento Duplicata,"61980,27",265105122025,1,237,0,0,1,2,2651
199212,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"1675,56",55586,100,237,2,0,3,1,4998
199213,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"923,16",55589,100,237,2,0,3,1,5898
199214,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"621,70",55674,100,237,2,0,2,1,2133
199215,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"2323,58",55669,100,237,2,0,2,1,5418
199216,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"1210,00",55672,100,237,2,0,2,1,4487
199217,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"533,66",55675,100,237,2,0,2,1,3847
199218,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"558,95",55676,100,237,2,0,2,1,3206
199219,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"1195,44",55679,100,237,2,0,2,1,4759
199220,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"961,31",55724,100,237,2,0,2,1,314
199221,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"641,91",55786,100,237,2,0,1,1,3847
199222,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"838,60",55795,100,237,2,0,1,1,5556
199223,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"6257,20",55752,100,2,2,0,1,1,5865
199224,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"1721,66",55753,100,2,2,0,1,1,5865
199225,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"114,91",55754,100,2,2,0,1,1,5865
199226,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"3871,04",55774,100,2,2,0,1,1,5865
199227,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"4076,76",55781,100,2,2,0,1,1,5865
199228,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"5862,81",55792,100,2,2,0,1,1,5865
199229,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"12051,71",55793,100,2,2,0,1,1,5865
199230,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"4241,21",55816,100,2,2,0,1,1,5865
199231,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"5922,26",55825,100,2,2,0,1,1,5865
199232,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"4147,45",55842,100,2,2,0,1,1,5865
199233,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"1984,46",55847,100,2,2,0,1,1,5865
199234,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"8348,57",55848,100,2,2,0,1,1,5865
199235,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"5172,92",55870,100,2,2,0,1,1,5865
199236,C,2025-12-05 0:00:00,Lançamento Referente Recebimento Duplicata,"1421,58",55925,100,2,2,0,1,1,5865
199247,C,2025-12-08 0:00:00,Lançamento Referente Recebimento Duplicata,"2241,82",55878,100,2,2,0,1,1,5865
199248,C,2025-12-08 0:00:00,Lançamento Referente Recebimento Duplicata,"5262,31",55890,100,2,2,0,1,1,5865
199249,C,2025-12-08 0:00:00,Lançamento Referente Recebimento Duplicata,"6921,93",55894,100,2,2,0,1,1,5865
199250,C,2025-12-08 0:00:00,Lançamento Referente Recebimento Duplicata,"3910,79",55900,100,2,2,0,1,1,5865
199251,C,2025-12-08 0:00:00,Lançamento Referente Recebimento Duplicata,"4984,15",55934,100,2,2,0,1,1,5865
199252,C,2025-12-08 0:00:00,Lançamento Referente Recebimento Duplicata,"5646,12",55937,100,2,2,0,1,1,5865
199253,D,2025-12-08 0:00:00,Lançamento Referente Pagamento Duplicata,"433,59",25825,E,237,0,22,1,2,3421
199254,D,2025-12-08 0:00:00,Lançamento Referente Pagamento Duplicata,"146,03",208383,100,2,0,22,1,2,3576
199255,D,2025-12-08 0:00:00,Lançamento Referente Pagamento Duplicata,"399,00",550117,A1,237,0,22,1,2,2475
199256,D,2025-12-08 0:00:00,Lançamento Referente Pagamento Duplicata,"445,70",7427080,100,2,0,22,1,3,3512
199257,D,2025-12-08 0:00:00,Lançamento Referente Pagamento Duplicata,"604,54",2133,1,2,0,22,1,2,5805
199258,D,2025-12-08 0:00:00,Lançamento Referente Pagamento Duplicata,"965,80",3303,1,2,0,22,3,2,5338
199259,D,2025-12-08 0:00:00,Lançamento Referente Pagamento Duplicata,"1244,00",9560,1,2,0,21,1,2,1282
199260,D,2025-12-08 0:00:00,Lançamento Referente Pagamento Duplicata,"1693,42",1053994,S,237,0,44,1,2,5797
199261,D,2025-12-08 0:00:00,Lançamento Referente Pagamento Duplicata,"1920,71",136243,1,2,0,22,1,2,666
199262,D,2025-12-08 0:00:00,Lançamento Referente Pagamento Duplicata,"5248,00",14148,1,2,0,22,1,2,144
199263,C,2025-12-08 0:00:00,Lançamento Referente Recebimento Duplicata,"1608,69",55571,100,237,2,0,2,1,1733
199265,C,2025-12-08 0:00:00,Lançamento Referente Recebimento Duplicata,"480,56",55579,100,237,2,0,2,1,1218
199266,C,2025-12-08 0:00:00,Lançamento Referente Recebimento Duplicata,"633,98",55581,100,237,2,0,2,1,4059
199238,D,2025-12-05 0:00:00,Lançamento Referente Pagamento Duplicata,"8766,45",37805122025,1,237,0,25,1,2,378
199239,D,2025-12-03 0:00:00,Lançamento Referente Pagamento Duplicata,"1400,00",208111,1,237,0,22,1,2,5866
199240,D,2025-12-01 0:00:00,TARIFA REGISTRO DE COBRANCA BRADESCO,"12,65",0,,237,0,61,0,0,0
199241,D,2025-12-02 0:00:00,TARIFA REGISTRO DE COBRANCA BRADESCO,"23,00",0,,237,0,61,0,0,0
199242,D,2025-12-04 0:00:00,TARIFA REGISTRO DE COBRANCA BRADESCO,"1,15",0,,237,0,61,0,0,0
199243,D,2025-12-02 0:00:00,TARIFA PAGTOS FUNCIONARIOS,"40,00",0,,237,0,61,0,0,0
199244,D,2025-12-02 0:00:00,TARIFA PIX,"0,25",0,,237,0,61,0,0,0
199245,D,2025-12-05 0:00:00,TARIFA TRANSDF TED,"1,84",0,,237,0,61,0,0,0
199246,D,2025-12-03 0:00:00,PADARIA DEGUSTARE,"51,41",0,,1,0,0,0,0,0
199264,C,2025-12-08 0:00:00,Lançamento Referente Recebimento Duplicata,"833,28",55574,100,237,2,0,3,1,2339
199267,C,2025-12-08 0:00:00,Lançamento Referente Recebimento Duplicata,"500,00",55582,100,237,2,0,2,1,4059
199268,C,2025-12-08 0:00:00,Lançamento Referente Recebimento Duplicata,"740,39",55588,100,237,2,0,3,1,4106
199269,C,2025-12-08 0:00:00,Lançamento Referente Recebimento Duplicata,"1518,88",55590,100,237,2,0,3,1,582
199270,C,2025-12-08 0:00:00,Lançamento Referente Recebimento Duplicata,"1488,75",55638,100,237,2,0,4,1,4556
199271,C,2025-12-08 0:00:00,Lançamento Referente Recebimento Duplicata,"1124,95",55685,100,237,2,0,2,1,2033
199272,C,2025-12-08 0:00:00,Lançamento Referente Recebimento Duplicata,"5780,85",55687,100,237,2,0,1,1,397
199273,C,2025-12-08 0:00:00,Lançamento Referente Recebimento Duplicata,"3380,12",55767,100,237,2,0,1,1,5500
199274,C,2025-12-08 0:00:00,Lançamento Referente Recebimento Duplicata,"560,72",55773,100,237,2,0,1,1,5900
199277,D,2025-12-08 0:00:00,PADARIA DEGUSTARE,"34,72",0,,1,0,0,0,0,0
199278,D,2025-12-08 0:00:00,TERIFAS REGISTRO DE COBRANCA,"28,75",0,,237,0,0,0,0,0
199279,D,2025-12-09 0:00:00,Lançamento Referente Pagamento Duplicata,"10000,00",27508122025,1,237,0,41,1,2,275
199280,D,2025-12-09 0:00:00,Lançamento Referente Pagamento Duplicata,"137,87",450409092025,S,237,0,39,4,3,4504
199275,D,2025-12-07 0:00:00,Lançamento Referente Pagamento Duplicata,"11614,98",143185,1,2,0,22,1,2,92
199281,D,2025-12-09 0:00:00,Lançamento Referente Pagamento Duplicata,"2021,20",26145,1,2,0,22,3,2,4923
199282,D,2025-12-09 0:00:00,Lançamento Referente Pagamento Duplicata,"3339,66",60610,1,2,0,22,1,2,245
199283,C,2025-12-09 0:00:00,Lançamento Referente Recebimento Duplicata,"6413,78",55467,100,237,2,0,1,1,1595
199284,C,2025-12-09 0:00:00,Lançamento Referente Recebimento Duplicata,"1134,04",55572,100,237,2,0,2,1,1950
199285,C,2025-12-09 0:00:00,Lançamento Referente Recebimento Duplicata,"572,06",55584,100,237,2,0,2,1,533
199286,C,2025-12-09 0:00:00,Lançamento Referente Recebimento Duplicata,"911,71",55595,100,237,2,0,2,1,5869
199287,C,2025-12-09 0:00:00,Lançamento Referente Recebimento Duplicata,"1446,95",55759,100,237,2,0,1,1,4221
199288,C,2025-12-09 0:00:00,Lançamento Referente Recebimento Duplicata,"2702,90",55782,100,237,2,0,1,1,4223
199289,D,2025-12-08 0:00:00,TARIFA TRANSFERENCIA TED,"0,92",0,,237,0,0,0,0,0
199290,D,2025-12-09 0:00:00,IMB PADARIA,"6,99",0,,1,0,0,0,0,0
199292,D,2025-12-09 0:00:00,Lançamento Referente Pagamento Duplicata,"649,60",591024112025,1,1,0,25,1,2,5910
199293,D,2025-12-09 0:00:00,PADARIA DEGUSTARE,"42,49",0,,1,0,0,0,0,0
199294,D,2025-12-09 0:00:00,GRU JUDICIAL - CARINA MARTINS,"649,60",0,,1,0,0,0,0,0
199295,D,2025-12-09 0:00:00,CORREIO,"23,00",0,,1,0,0,0,0,0
199296,D,2025-12-09 0:00:00,Lançamento Referente Pagamento Duplicata,"4710,00",143219,1,2,0,22,1,2,92
199297,D,2025-12-10 0:00:00,Lançamento Referente Pagamento Duplicata,"62,40",7234,S,237,0,13,1,2,4396
199298,D,2025-12-10 0:00:00,Lançamento Referente Pagamento Duplicata,"77,32",24231,S,237,0,42,1,2,1822
199299,D,2025-12-10 0:00:00,Lançamento Referente Pagamento Duplicata,"81,00",5115,S,237,0,42,1,2,3018
199300,D,2025-12-10 0:00:00,Lançamento Referente Pagamento Duplicata,"110,00",272411,1,237,0,42,1,2,1656
199301,D,2025-12-10 0:00:00,Lançamento Referente Pagamento Duplicata,"135,76",24176,S,237,0,22,1,2,1822
199302,D,2025-12-10 0:00:00,Lançamento Referente Pagamento Duplicata,"194,30",544558,1,2,0,53,1,2,85
199303,D,2025-12-10 0:00:00,Lançamento Referente Pagamento Duplicata,"199,90",584010072025,1,237,0,57,6,2,5840
199304,D,2025-12-10 0:00:00,Lançamento Referente Pagamento Duplicata,"239,00",43468,S,237,0,22,1,2,2123
199305,D,2025-12-10 0:00:00,Lançamento Referente Pagamento Duplicata,"320,00",147,1,2,0,42,1,2,5739
199306,D,2025-12-10 0:00:00,Lançamento Referente Pagamento Duplicata,"390,00",6020,1,237,0,13,1,2,278
199307,D,2025-12-10 0:00:00,Lançamento Referente Pagamento Duplicata,"434,22",663847,1,2,0,53,1,2,4829
199308,D,2025-12-10 0:00:00,Lançamento Referente Pagamento Duplicata,"852,00",256058,6,2,0,22,1,2,88
199309,D,2025-12-10 0:00:00,Lançamento Referente Pagamento Duplicata,"1001,98",9477225,100,2,0,22,1,3,3512
199310,D,2025-12-10 0:00:00,Lançamento Referente Pagamento Duplicata,"1003,03",26627,1,2,0,22,1,2,4923
199311,D,2025-12-10 0:00:00,Lançamento Referente Pagamento Duplicata,"1115,59",12297944,S,237,0,39,4,2,5292
199312,D,2025-12-10 0:00:00,Lançamento Referente Pagamento Duplicata,"3899,50",63731,0,2,0,22,1,2,53
199313,C,2025-12-10 0:00:00,Lançamento Referente Recebimento Duplicata,"1190,61",55424,100,237,2,0,5,1,478
199314,C,2025-12-10 0:00:00,Lançamento Referente Recebimento Duplicata,"815,79",55596,100,237,2,0,2,1,5753
199315,C,2025-12-10 0:00:00,Lançamento Referente Recebimento Duplicata,"2757,98",55597,100,237,2,0,3,1,5900
199316,C,2025-12-10 0:00:00,Lançamento Referente Recebimento Duplicata,"500,00",55603,100,237,2,0,3,1,1049
199317,C,2025-12-10 0:00:00,Lançamento Referente Recebimento Duplicata,"627,74",55703,100,237,2,0,2,1,2339
199318,C,2025-12-10 0:00:00,Lançamento Referente Recebimento Duplicata,"349,39",55704,100,237,2,0,3,1,5662
