Numero,numero_parcela,Tipo_C,Codigo_C,Data_Em,Data_Protesto,Protesto,Data_Ven,Data_Ent,Data_Pag,NumeroBanco,Valor_T,Valor_Base,Valor_Atual,Obs,Instituicao,Situacao,Portador,BoletoTipoCarteira,Instituicao,Situacao,Portador,BoletoTipoCarteira,InstrucaoBoleto
55861,1,1,5853,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2026-01-27 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,"5192,53","5192,53","5192,53",,2,1,2,0,2,1,2,0,
55862,1,1,4893,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2026-01-27 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,"5418,79","5418,79","5418,79",,2,1,2,0,2,1,2,0,
55863,1,1,2408,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2026-02-16 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,"1729,35","1729,35","1729,35",,2,1,2,0,2,1,2,0,
55864,1,1,2412,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2026-02-16 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,"2098,38","2098,38","2098,38",,2,1,2,0,2,1,2,0,
55865,1,1,5464,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2026-02-16 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,"1181,24","1181,24","1181,24",,2,1,2,0,2,1,2,0,
55866,1,1,2405,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2026-02-16 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,"2774,16","2774,16","2774,16",,2,1,2,0,2,1,2,0,
55867,1,1,3869,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2026-02-16 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,"1232,58","1232,58","1232,58",,2,1,2,0,2,1,2,0,
55868,1,1,2410,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2026-02-16 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,"1308,22","1308,22","1308,22",,2,1,2,0,2,1,2,0,
55869,1,1,2404,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2026-02-16 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,"1439,08","1439,08","1439,08",,2,1,2,0,2,1,2,0,
55870,1,1,5865,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-05 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,"5172,92","5172,92","5172,92",,2,1,2,0,2,1,2,0,
55848,1,1,5865,2025-11-17 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-05 00:00:00.000,2025-11-17 00:00:00.000,1753-01-01 00:00:00.000,,"8348,57","8348,57","8348,57",,2,1,2,0,2,1,2,0,
61794,1,2,245,2025-11-17 00:00:00.000,1753-01-01 00:00:00.000,,2026-03-17 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,"4572,14","4572,14","4572,14",,2,1,0,0,2,1,0,0,
144145,1,2,92,2025-11-17 00:00:00.000,1753-01-01 00:00:00.000,,2026-02-15 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,"11777,05","11777,05","11777,05",,2,1,0,0,2,1,0,0,
284219,1,3,2190,2025-11-17 00:00:00.000,1753-01-01 00:00:00.000,,2026-01-02 00:00:00.000,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,,"633,03","633,03","633,03",,237,1,237,9,237,1,237,9,BRADESCO
727211,1,3,5569,2025-11-17 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-23 00:00:00.000,2025-11-17 00:00:00.000,1753-01-01 00:00:00.000,,"320,01","320,01","320,01",,2,1,2,0,2,1,2,0,
10143525,1,3,3512,2025-11-17 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-26 00:00:00.000,2025-11-17 00:00:00.000,1753-01-01 00:00:00.000,,"995,32","995,32","995,32",,341,1,341,352,341,1,341,352,
10148525,1,3,3512,2025-11-17 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-28 00:00:00.000,2025-11-17 00:00:00.000,1753-01-01 00:00:00.000,,"1322,06","1322,06","1322,06",,2,1,237,9,2,1,237,9,BRADESCO
63745978,1,2,5484,2025-11-17 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-17 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,749,749,749,,2,1,0,0,2,1,0,0,
9591,1,2,1282,2025-11-17 00:00:00.000,1753-01-01 00:00:00.000,,2026-01-02 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,2278,2278,2278,,2,1,0,0,2,1,0,0,
40778,1,2,88,2025-11-17 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-22 00:00:00.000,2025-11-17 00:00:00.000,1753-01-01 00:00:00.000,,"214,07","214,07","214,07",,2,1,0,0,2,1,0,0,
730017,1,3,5569,2025-11-15 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-30 00:00:00.000,2025-11-19 00:00:00.000,1753-01-01 00:00:00.000,,"494,72","494,72","494,72",,2,1,237,9,2,1,237,9,BRADESCO
730807,1,3,5562,2025-11-15 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-30 00:00:00.000,2025-11-17 00:00:00.000,1753-01-01 00:00:00.000,,"674,69","674,69","674,69",,237,1,237,9,237,1,237,9,BRADESCO
444520,1,2,334,2025-11-14 00:00:00.000,1753-01-01 00:00:00.000,0,2025-11-14 00:00:00.000,2025-11-14 00:00:00.000,2025-11-14 00:00:00.000,,"387,6","387,6",0,,2,3,2,0,2,3,2,0,
144129,1,2,92,2025-11-14 00:00:00.000,1753-01-01 00:00:00.000,,2026-02-12 00:00:00.000,2025-11-14 00:00:00.000,1753-01-01 00:00:00.000,,"684,05","684,05","684,05",,2,1,0,0,2,1,0,0,
63710012,1,2,5484,2025-11-14 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-15 00:00:00.000,2025-11-14 00:00:00.000,1753-01-01 00:00:00.000,,"81,9","81,9","81,9",,2,1,0,0,2,1,0,0,
10150525,1,3,5394,2025-11-14 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-31 00:00:00.000,2025-11-17 00:00:00.000,1753-01-01 00:00:00.000,,"435,03","435,03","435,03",,0,1,0,0,0,1,0,0,
55843,1,1,1595,2025-11-14 00:00:00.000,1753-01-01 00:00:00.000,0,2026-01-28 00:00:00.000,2025-11-14 00:00:00.000,1753-01-01 00:00:00.000,09/00000018237-3,"13514,66","13927,07","13514,66","CONCEDIDO DESCONTO EM DUPLICATA NO VALOR DE R$412,41 REFERENTE A 3,25% V.P. CONFORME ACORDO COMERCIAL.        Impresso formato Gráfico Bradesco. Usuário:LEIA, Data:14/11/2025, Hora:07:45:08, Máquina:FATURAMENTO    Data da ocorrência/baixa = 14/11/2025. Executado:17/11/2025 - 07:47:05  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 17/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55846,1,1,5900,2025-11-14 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-12 00:00:00.000,2025-11-14 00:00:00.000,1753-01-01 00:00:00.000,09/00000018238-1,"453,41","453,41","453,41","Desconto aplicado na NF no valor de R$        226,39  Data da ocorrência/baixa = 14/11/2025. Executado:17/11/2025 - 07:47:06  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 17/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55847,1,1,5865,2025-11-14 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-05 00:00:00.000,2025-11-14 00:00:00.000,1753-01-01 00:00:00.000,,"1984,46","1984,46","1984,46",,2,1,2,0,2,1,2,0,
16458,1,2,5863,2025-11-14 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-12 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,"1715,45","3326,2","1715,45",,2,1,0,0,2,1,0,0,
16458,2,2,5863,2025-11-14 00:00:00.000,1753-01-01 00:00:00.000,,2026-01-09 00:00:00.000,2025-11-18 00:00:00.000,1753-01-01 00:00:00.000,,"1610,75","3326,2","1610,75",,2,1,0,0,2,1,0,0,
568,1,3,5379,2025-11-14 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-01 00:00:00.000,2025-11-17 00:00:00.000,1753-01-01 00:00:00.000,,"273,65","273,65","273,65",,237,1,0,9,237,1,0,9,BRADESCO
147,1,2,5739,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,0,2025-12-10 00:00:00.000,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,,320,320,320,,2,1,2,0,2,1,2,0,
55827,1,1,5725,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-11 00:00:00.000,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,09/00000018206-3,"2695,92","6867,58","2695,92","Desconto aplicado na NF no valor de R$      1.067,80  Data da ocorrência/baixa = 14/11/2025. Executado:17/11/2025 - 07:46:53  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 17/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55827,2,1,5725,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-26 00:00:00.000,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,09/00000018207-1,"2085,83","6867,58","2085,83","Desconto aplicado na NF no valor de R$      1.067,80  Data da ocorrência/baixa = 14/11/2025. Executado:17/11/2025 - 07:46:53  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 17/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55827,3,1,5725,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,,2026-01-08 00:00:00.000,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,09/00000018208-P,"2085,83","6867,58","2085,83","Desconto aplicado na NF no valor de R$      1.067,80  Data da ocorrência/baixa = 14/11/2025. Executado:17/11/2025 - 07:46:54  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 17/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55828,1,1,5914,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,,2025-11-13 00:00:00.000,2025-11-13 00:00:00.000,2025-11-10 00:00:00.000,,"656,13","656,13",0,"Desconto aplicado na NF no valor de R$        281,34",2,3,2,0,2,3,2,0,
55829,1,1,804,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-11 00:00:00.000,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,09/00000018209-8,"1344,6","4246,61","1344,6","Desconto aplicado na NF no valor de R$        455,22  Data da ocorrência/baixa = 14/11/2025. Executado:17/11/2025 - 07:46:54  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 17/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55829,2,1,804,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-26 00:00:00.000,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,09/00000018210-1,"967,34","4246,61","967,34","Desconto aplicado na NF no valor de R$        455,22  Data da ocorrência/baixa = 14/11/2025. Executado:17/11/2025 - 07:46:55  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 17/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55829,3,1,804,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,,2026-01-08 00:00:00.000,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,09/00000018211-P,"967,34","4246,61","967,34","Desconto aplicado na NF no valor de R$        455,22  Data da ocorrência/baixa = 14/11/2025. Executado:17/11/2025 - 07:46:55  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 17/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55829,4,1,804,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,,2026-01-22 00:00:00.000,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,09/00000018212-8,"967,33","4246,61","967,33","Desconto aplicado na NF no valor de R$        455,22  Data da ocorrência/baixa = 14/11/2025. Executado:17/11/2025 - 07:46:55  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 17/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55830,1,1,779,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-11 00:00:00.000,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,09/00000018213-6,"2488,77","9181,25","2488,77","Desconto aplicado na NF no valor de R$        792,94  Data da ocorrência/baixa = 14/11/2025. Executado:17/11/2025 - 07:46:56  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 17/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55830,2,1,779,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-18 00:00:00.000,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,09/00000018214-4,"1673,12","9181,25","1673,12","Desconto aplicado na NF no valor de R$        792,94  Data da ocorrência/baixa = 14/11/2025. Executado:17/11/2025 - 07:46:56  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 17/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55830,3,1,779,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-26 00:00:00.000,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,09/00000018215-2,"1673,12","9181,25","1673,12","Desconto aplicado na NF no valor de R$        792,94  Data da ocorrência/baixa = 14/11/2025. Executado:17/11/2025 - 07:46:57  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 17/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55830,4,1,779,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,,2026-01-01 00:00:00.000,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,09/00000018216-0,"1673,12","9181,25","1673,12","Desconto aplicado na NF no valor de R$        792,94  Data da ocorrência/baixa = 14/11/2025. Executado:17/11/2025 - 07:46:57  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 17/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55830,5,1,779,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,,2026-01-08 00:00:00.000,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,09/00000018217-9,"1673,12","9181,25","1673,12","Desconto aplicado na NF no valor de R$        792,94  Data da ocorrência/baixa = 14/11/2025. Executado:17/11/2025 - 07:46:57  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 17/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55832,1,1,5556,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-11 00:00:00.000,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,09/00000018218-7,"1496,96","2749,63","1496,96","Desconto aplicado na NF no valor de R$        589,50  Data da ocorrência/baixa = 14/11/2025. Executado:17/11/2025 - 07:46:58  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 17/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55832,2,1,5556,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-26 00:00:00.000,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,09/00000018219-5,"1252,67","2749,63","1252,67","Desconto aplicado na NF no valor de R$        589,50  Data da ocorrência/baixa = 14/11/2025. Executado:17/11/2025 - 07:46:58  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 17/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
55833,1,1,3501,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,,2025-12-11 00:00:00.000,2025-11-13 00:00:00.000,1753-01-01 00:00:00.000,09/00000018220-9,"734,44","1349,03","734,44","Desconto aplicado na NF no valor de R$        276,12  Data da ocorrência/baixa = 14/11/2025. Executado:17/11/2025 - 07:46:59  Ocorrencia/Motivo: Entrada Confimada - Ocorrencia Aceita  - [Data Leitura: 17/11/2025] - [Usuário Leitura: DIEGO]  Valor despesas: R$           1,15",237,1,237,9,237,1,237,9,BRADESCO
